,,EIG_a,ER_s,Kelvin_s,MJO_s,MJO_a,MRG_a,TD_s,WIG_s,CARIBE_u,CARIBE_v,CHOCO_u,CHOCO_v,ORINOQUIA_u,ORINOQUIA_v,PPT_ERA5,PPT_ERA_acum,Tendencia,Caudal_antes,Caudal
1,14,3.3607728099617895,3.809768910075507,5.445424344619071,1.7668885828190946,1.6185736571582017,2.3288707112282214,4.308005878904509,1.3914785169336958,0.03190742718278112,0.017137092789899434,0.03036356188480933,0.03004379582659701,0.012591751675883268,0.008570698374402066,2.0279577335621433,25.012140727072783,24.70607253291879,103.07708088659281,72.94384563900493
1,15,3.148417786018933,3.8376261203836144,5.43108711209154,1.6809491479084537,1.6323242983102833,2.244301487693355,3.287893122388432,1.2801878977811796,0.03730896930138308,0.020002240194761108,0.032976183286216196,0.022442431959764926,0.006790973634492454,0.010734569265208833,2.882819957519662,24.951530632129028,49.96626678203315,72.94384563900493,82.94405820121173
1,16,3.568980673091946,3.9426166601858363,6.234919291202585,1.5432078579977402,1.6339594392675196,2.5350225367410757,3.597212643465039,1.349279002255551,0.03335178238070852,0.02009853043991238,0.030061819196266226,0.024908737625149936,0.00850600215990816,0.012627399569602427,4.456057220792531,25.5196946688739,42.07894610322062,82.94405820121173,97.69702346285634
1,17,3.7292426940823806,4.290697000638825,5.920699154132501,1.5440228775123361,1.6128821766485357,1.7116073969351357,3.4602229626427015,1.6119206459441138,0.04109854585675379,0.02426992866612786,0.030419564866613496,0.025322133586530057,0.010307381362692361,0.010874426275349718,3.0951977052885167,27.11170071954734,45.254311826120365,97.69702346285634,133.06522031397256
1,18,3.9951423339964878,4.531370028369622,6.615636312171611,1.6186731988843204,1.5375670253289742,2.928554994889223,2.6533820467667386,1.7970995574815527,0.03831503064613308,0.023595080077958012,0.0343414043929467,0.024378337387583573,0.010898094520145405,0.013191226690128387,2.067355610606228,25.41397531252893,73.5019952254536,133.06522031397256,132.40630982550482
1,19,3.825620649544077,5.127564892371703,4.896073871477355,1.714242243508549,1.5025798990479768,2.036687334562166,2.9358589673623063,1.7505757947495697,0.04122364538050339,0.029031624124188797,0.028865107509893805,0.02894782663415377,0.013438077364525765,0.01083997280470746,3.4313960774848895,21.979392179930684,43.640736631244934,132.40630982550482,90.78415473358713
1,20,3.600276432377308,5.345624849878495,8.744368332698352,1.7088160646680322,1.586937515287888,3.1487163359532664,3.2258032112882686,1.6443249248090657,0.04151661973183384,0.023795725686618537,0.029277210106057824,0.02733742428005924,0.015418440768398312,0.016270733784062717,2.8032993582033403,20.320664435589062,92.51592152774631,90.78415473358713,110.14738954015232
1,21,3.206884693563143,5.1265792005593,4.213992827892052,1.8296828751938767,1.2617068397203421,2.6763188368564577,1.8615571515446763,1.6244616360902282,0.04828883660559467,0.020578747786044897,0.02835895289974915,0.02103819557851722,0.014759915239549419,0.011689874374150802,2.5640536570279933,19.164543463097747,64.87768868115896,110.14738954015232,90.51828325796392
1,22,3.085988448625862,4.409103952294489,7.628203135788327,1.890422039187234,1.2544270121972698,3.1742448893922353,3.723340167484699,1.6033044651562534,0.05077502591390304,0.02325310305541483,0.023303688980012886,0.020512075259107653,0.014871365335277846,0.013251073180434602,2.746524990537988,18.5815631095149,33.70819134997903,90.51828325796392,156.57544531618882
1,23,2.777539388444679,4.083039266097899,6.74017747853409,1.8866175364127404,1.2700083118955927,3.380969859828027,2.4815212407584353,1.6364783812848305,0.051396708897059995,0.01886716107551637,0.023741863594028106,0.027340984498106822,0.01449220340694575,0.011017610062380974,2.5002151189376076,17.975134822514978,90.23708259466534,156.57544531618882,108.74486724046076
1,24,4.4637683725425665,3.692537396672317,4.096956256848757,1.941053270723499,1.284044743656338,2.4009023860755825,3.4841429912931514,1.909613736164008,0.048390480975064036,0.019322405943356838,0.02805346178192968,0.027878135655467817,0.013747138414614564,0.011219039341714076,2.250769418823719,18.179740234064813,57.382517253827366,108.74486724046076,109.31402053818235
1,25,4.4430720311875485,3.758430287449332,8.868009318151296,1.9821292666845098,1.3052950373859273,3.7632404951689016,3.1245887393318483,2.21128428224074,0.03249400810390807,0.020238312050559117,0.026568020752085995,0.027256487789101468,0.01283005722911203,0.012099475267772122,4.75446583543525,18.769953657905493,15.786309365919806,109.31402053818235,102.90573279418932
1,26,3.91056868157457,4.129716722040744,8.03850194128838,1.9944729603926128,1.331671239911984,2.278225171869184,3.025203628655326,2.2293420318080073,0.029793525135897572,0.015375942626007413,0.02497114473804896,0.025008145854215097,0.013345346258657386,0.0114389935410432,1.9618534366349625,16.907882290354497,25.36907294619997,102.90573279418932,80.3660548728059
1,27,5.286713001771598,4.573864135664602,4.1786607712233685,1.9932881952117305,1.2448239602819784,2.982830830258228,3.6399901560302235,1.949191345071796,0.03292643703059042,0.02260401099050324,0.023990577183753546,0.0241537566806159,0.01174009340296013,0.01126900414436936,2.1388013117767253,16.70438394057236,30.506858718083606,80.3660548728059,99.10702602561472
1,28,4.2604370109571805,4.994370717199058,3.8973160065237615,1.9692619732721492,1.2992291323074323,2.4128760384390446,2.7835635158713066,1.6514040668147363,0.04088783241188942,0.025065753648727596,0.022027755140833185,0.023675412691339326,0.011286034667624545,0.012678605898698809,2.5106215770324245,15.626887981604712,68.76542728664565,99.10702602561472,79.11202619797622
1,29,2.3176106095261413,5.326099855315831,4.299792410411878,2.0037562451472763,1.329374125202274,2.5341572756888553,3.3541713901024917,1.5611762650500587,0.039006530009866,0.01630627690919785,0.02347150677118242,0.02318958394026637,0.012251569159800985,0.010687329221584042,3.3876626119608546,15.34917799122816,30.922675416693643,79.11202619797622,90.3726298853104
1,30,3.1969086229858545,5.116702313352332,5.048790955213547,1.9524014568189851,1.4086113144513293,1.9062123844540124,3.188275492698429,1.7129555401366443,0.030271319012391884,0.014152869882517339,0.019186784001592027,0.017120945673295602,0.016090447598808868,0.010560621434037557,2.706555378261963,15.424122734005884,52.402468590818124,90.3726298853104,75.13982122680628
1,31,3.632770064027913,4.622812801209244,5.756034759257247,1.8993991928803602,1.4327240019872927,1.978018258698507,2.943374002643743,1.8821185578822093,0.0372386508970553,0.019483819444067265,0.02237894857355578,0.014217967470852272,0.013892233605577174,0.015634807910618963,3.320074283966383,14.757522716309316,34.026493838401,75.13982122680628,98.10683140578706
2,1,3.5116354875993228,3.6451989924296933,3.4290417805114264,1.8471413040505604,1.5051914618609668,2.026902972267718,3.11606970795829,1.9556723165146046,0.03342758929560492,0.019002487759860725,0.022945059207360043,0.02281384817407799,0.012360131255592698,0.01472239860915663,3.7154673191381087,15.518066476837792,58.45364992013339,98.10683140578706,95.06881583939692
2,2,3.195746746141026,2.8982553625390577,5.122492602570007,2.0074173946737606,1.5031404215362996,1.393025171917386,3.4330824487429425,2.1194959712627726,0.03904586375511157,0.019170440551076674,0.015077715886737139,0.0212937893337206,0.01350957762664211,0.012112320039408951,4.641522578359221,17.91073766097346,32.486809081427815,95.06881583939692,85.433759252263
2,3,2.4195164442247683,3.276172067641251,4.002032650966008,2.0197161307677503,1.5934830285107873,1.8758284278606376,3.2303298423346134,1.966294624507627,0.0349532078856471,0.019490242293738788,0.025719525025764856,0.025042801974658743,0.014620600945214833,0.011750963926519515,3.662822484564092,19.786800103579512,26.384971242679214,85.433759252263,72.55558536411057
2,4,2.4028215706624465,4.424107975756771,4.316095945786281,2.041401143449178,1.6103201928308648,2.2995335617201604,3.761007638447033,1.9703875228702579,0.04362587793283302,0.024781096854953482,0.031273883375436004,0.028117319123658,0.013999952461261473,0.01333222073570714,5.077392450056408,21.82564113991946,31.385807942181938,72.55558536411057,71.83720599581328
2,5,2.385830906505003,5.3798836810034105,5.571053400216082,2.0731864024217423,1.5967718485709668,2.2221123669566802,3.468460923626133,2.0763574323962284,0.043626937633429876,0.02666589635321153,0.030389802706703124,0.034041784401389025,0.017561558707438658,0.013901246185530368,4.532982929053918,25.49913558941823,14.659548190222743,71.83720599581328,85.72571773080514
2,6,2.371616370545402,5.617411678261719,6.447254108621978,2.1339590686048218,1.5632834638168354,2.4053966172039254,3.5603898380690797,2.0021799018346034,0.0357673616205167,0.024232002222033575,0.03695082846812852,0.0391557553671302,0.01598515014949341,0.01250210627714167,5.401605458043952,27.65692760823689,28.749502861980847,85.72571773080514,94.10263542485238
2,7,2.593300158228565,5.1388446024320755,7.7417440462119975,2.1581290247418097,1.4845475388684128,3.037660744285697,2.430744515395261,1.8920259033729763,0.042590348936128945,0.02060118758858414,0.026626579878661134,0.03518968572165632,0.01255431869167049,0.011833357548160022,2.9878795931060274,28.85620639488192,54.6554282511394,94.10263542485238,113.1130244953414
2,8,3.1186491232316023,4.15737682106528,8.220492218843827,2.1766327095241733,1.3563500776246327,2.393565243156869,3.771652729019858,2.0092879278822897,0.03994283821802959,0.016649935483763263,0.02749572915407967,0.03324512150342193,0.012086520087837142,0.012127647819396722,3.8388032810334938,29.250860055026994,50.14504874088696,113.1130244953414,103.3029218249213
2,9,3.302706802960538,3.294701341876229,4.481108795918988,2.1821560639815862,1.2586008179413484,3.3552473413796604,3.0846878917402707,2.148627307291257,0.041920002842913945,0.016733675590986288,0.017700596424053465,0.025768733496340825,0.014016751303756346,0.01343003897436068,3.5905703682263925,30.323141023679625,22.797296274120608,103.3029218249213,76.62728194026961
