Fecha y Hora,Valor,
2015-09-02,72.5916666666667,51.0
2015-09-03,78.04,51.0
2015-09-04,60.3629166666667,51.0
2015-09-05,54.455,51.0
2015-09-06,49.9808333333333,51.0
2015-09-07,87.785,51.0
2015-09-08,73.9070833333333,51.0
2015-09-09,56.0954166666667,51.0
2015-09-10,51.4366666666667,51.0
2015-09-11,69.6195833333333,51.0
2015-09-12,63.0095833333333,51.0
2015-09-13,51.0270833333333,51.0
2015-09-14,47.7358333333333,51.0
2015-09-15,51.2754166666667,51.0
2015-09-16,44.0958333333333,51.0
2015-09-17,45.565,51.0
2015-09-18,50.7429166666667,51.0
2015-09-19,56.3020833333333,51.0
2015-09-20,75.9491666666667,51.0
2015-09-21,67.4283333333333,51.0
2015-09-22,52.3891666666667,51.0
2015-09-23,47.04375,51.0
2015-09-24,43.2191666666667,51.0
2015-09-25,38.3608333333333,51.0
2015-09-26,34.885,51.0
2015-09-27,33.3366666666667,51.0
2015-09-28,31.26875,51.0
2015-09-29,31.4225,51.0
2015-09-30,35.7258333333333,51.0
2015-10-01,30.9866666666667,51.0
2015-10-02,51.8595833333333,51.0
2015-10-03,57.1854166666667,51.0
2015-10-04,54.2529166666667,51.0
2015-10-05,41.3191666666667,51.0
2015-10-06,35.7466666666667,51.0
2015-10-07,31.6816666666667,51.0
2015-10-08,28.66,51.0
2015-10-09,28.5475,51.0
2015-10-10,27.1604166666667,51.0
2015-10-11,29.3883333333333,51.0
2015-10-12,33.76125,51.0
2015-10-13,34.2491666666667,51.0
2015-10-14,39.3270833333333,51.0
2015-10-15,45.4366666666667,51.0
2015-10-16,50.8520833333333,51.0
2015-10-17,39.8695833333333,51.0
2015-10-18,44.26875,51.0
2015-10-19,43.18875,51.0
2015-10-20,42.5558333333333,51.0
2015-10-21,35.12125,51.0
2015-10-22,30.7620833333333,51.0
2015-10-23,32.5375,51.0
2015-10-24,65.74875,51.0
2015-10-25,57.7245833333333,51.0
2015-10-26,89.35125,51.0
2015-10-27,56.8016666666667,51.0
2015-10-28,53.9741666666667,51.0
2015-10-29,45.8525,51.0
2015-10-30,45.33125,51.0
2015-10-31,41.32,51.0
2015-11-01,43.8379166666667,51.0
2015-11-02,86.37,51.0
2015-11-03,83.7983333333333,51.0
2015-11-04,62.58875,51.0
2015-11-05,65.0025,51.0
2015-11-06,79.2283333333333,51.0
2015-11-07,96.7770833333333,51.0
2015-11-08,125.230833333333,51.0
2015-11-09,92.1554166666667,51.0
2015-11-10,68.685,51.0
2015-11-11,59.8891666666667,51.0
2015-11-12,53.1991666666667,51.0
2015-11-13,51.6475,51.0
2015-11-14,48.9841666666667,51.0
2015-11-15,52.2008333333333,51.0
2015-11-16,59.3683333333333,51.0
2015-11-17,74.17125,51.0
2015-11-18,67.955,51.0
2015-11-19,65.02875,51.0
2015-11-20,65.2570833333333,51.0
2015-11-21,62.6645833333333,51.0
2015-11-22,58.7145833333333,51.0
2015-11-23,51.0975,51.0
2015-11-24,50.9933333333334,51.0
2015-11-25,49.5820833333333,51.0
2015-11-26,47.4120833333333,51.0
2015-11-27,46.7795833333333,51.0
